id,REF,Nome,"Descrição curta","Peso (kg)","Comprimento (cm)","Largura (cm)","Altura (cm)",Preço,Categorias,Imagem1,Imagem2,Imagem3,Imagem4,Imagem5,Imagem6
464,PN-Lar,"Lar doce Lar, azulejo decorado","Painel pintado em azulejos, com esmalte cerâmico, super resistente as ações do tempo",,,,,"160,00","Painéis em azulejo",http://atelielukabrasil.com.br/wp-content/uploads/2013/12/Lar-doce-lar.jpg,,,,,
465,PN-Índia,"Painel Indiano","Motivo indiano, esmalte cerâmico sobre azulejos",,,,,"150,00","Painéis em azulejo",http://atelielukabrasil.com.br/wp-content/uploads/2013/12/Indiano.jpg,,,,,
466,PN-Carmen,"Carmen Miranda reproduzida em azulejos","Esmalte cerâmico sobre azulejo de 20x20 cm. Desenho exclusivo!!",,,,,"250,00","Painéis em azulejo",http://atelielukabrasil.com.br/wp-content/uploads/2013/12/Painel-Carmen-Miranda.jpg,,,,,
467,PN-Andrey,"Andrey Hapburn","Ilustração de Andrey Hapburn, reprodução em azulejos",,,,,"150,00","Painéis em azulejo",http://atelielukabrasil.com.br/wp-content/uploads/2013/12/Andrey.jpg,,,,,
469,PN-Elvis,"Elvis Presley","Ilustração alto-contraste sobre azulejo esmaltado.",,,,,"150,00","Painéis em azulejo",http://atelielukabrasil.com.br/wp-content/uploads/2013/12/Elvis-40x60.jpg,,,,,
470,PN-Marilin,"Marilin Monroe","Ilustração alto-contraste, sobre azulejos esmaltados.",,,,,"150,00","Painéis em azulejo",http://atelielukabrasil.com.br/wp-content/uploads/2013/12/Marilyn-40x60.jpg,,,,,
487,BRAS-P-28-1,"Prato decorativo, com brasão ","Prato de 34 cm, com brasão de família.",,,,,"147,00","Brasões de Família",http://atelielukabrasil.com.br/wp-content/uploads/2013/12/Prato-34_-BRZ-001.jpg,,,,,
489,Grossi-28,"Prato decorado | Brasão de família | Sob encomenda","Um presente bastante original!!",,,,,"147,00","Brasões de Família",http://atelielukabrasil.com.br/wp-content/uploads/2015/09/Brasão-Grossi.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2015/09/Brasão-França.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2015/09/Brasão-Grossi.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2015/09/Brasão-Fagundes.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2015/09/Brasão-Farias.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2015/09/Brasão-Damaceno.jpg
537,PL-EU-30x20,"Sermão de Josué-24 | Placas com salmos","Crie a sua própria mensagem!!",,,,,"99,00","Cerâmica personalizada com número de residência|Placas Personalizadas",http://atelielukabrasil.com.br/wp-content/uploads/2014/01/Placas-ceramicas-com-salmos.jpg,,,,,
538,PL-FMI1-30x20,"Homenagem para família | Placa de homenagem","Um presente marcante e original.",,,,,"99,00","Cerâmica personalizada com número de residência|Placas Personalizadas",http://atelielukabrasil.com.br/wp-content/uploads/2015/06/Azulejo-decorado-com-nome-de-familia-e-numero-de-casa.jpg,,,,,
539,"PL-FMI 2-30x20","Placa para homenagear | Homenagem a família","Perpetue o nome de sua família nesta placa!!",,,,,"99,00","Cerâmica personalizada com número de residência|Placas Personalizadas",http://atelielukabrasil.com.br/wp-content/uploads/2015/06/Placa-ceramica-com-nome-de-familia.jpg,,,,,
542,PL-OV-30x20,"Sinalização para recepção","Podemos mexer com as cores.",,,,,"99,00","Cerâmica personalizada com número de residência|Placas Personalizadas",http://atelielukabrasil.com.br/wp-content/uploads/2014/01/Placa-de-ceramica-obrigado-pela-visita.jpg,,,,,
545,PL-AP-EE,"Sinalização para banheiro","Posso produzir com outros motivos temáticos.",,,,,"120,00","Placas Personalizadas",http://atelielukabrasil.com.br/wp-content/uploads/2014/01/Ele_Ela-Heras-Verde.jpg,,,,,
547,PL-CC-30x20,"Cantinho do churrasco | Utensílio para área do churrasco","Um toque de requinte em seu cantinho do laser.",,,,,"99,00","Cerâmica personalizada com número de residência|Placas Personalizadas",http://atelielukabrasil.com.br/wp-content/uploads/2015/06/Placa-ceramica-Cantinho-Churrasco.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2014/01/Azulejo-Cantinho-Churrasco.jpg,,,,
548,"PL-BV 2-30x20","Cerâmica artística | Saudação bem vindo","Viva os amigos e a família!!!",,,,,"99,00","Cerâmica personalizada com número de residência|Placas Personalizadas",http://atelielukabrasil.com.br/wp-content/uploads/2014/01/Bem-vindo-amigo_VD.jpg,,,,,
549,PL-Ouro-30x20,"Cerâmica artística decorativa, faiança","Faço também pra outras datas.",,,,,"99,00","Placas Personalizadas",http://atelielukabrasil.com.br/wp-content/uploads/2014/01/Bodas-de-Ouro-cópia-1.jpg,,,,,
552,"Pl-CC 2-30x20"," Cerâmica artística decorativa, faiança","Escolha a cor que combine com seu espaço.",,,,,"99,00","Placas Personalizadas",http://atelielukabrasil.com.br/wp-content/uploads/2014/01/Cantinho-Churrasco_2-1.jpg,,,,,
553,PL-AB-30x20,"Cerâmica artística | Cerâmica decorada | Saudação para amigos","Faça a sua saudação pessoal.",,,,,"99,00","Cerâmica personalizada com número de residência|Placas Personalizadas",http://atelielukabrasil.com.br/wp-content/uploads/2014/01/Ainda-Bem-1.jpg,,,,,
554,PL-NN-30x20,"Número de casa, nome de rua","Personalize o seu endereço.",,,,,"99,00","Placas Personalizadas",http://atelielukabrasil.com.br/wp-content/uploads/2014/01/Placa-cerâmica-com-endereço-e-numero-de-casa.jpg,,,,,
555,"PL-EE- AP"," Cerâmica artística decorativa, faiança","Produzimos também com outros motivos.",,,,,"120,00","Placas Personalizadas",http://atelielukabrasil.com.br/wp-content/uploads/2014/01/Ele_Ela-Heras-Marrom.jpg,,,,,
